Radius pix	Radius arcsec	W6_Mean	STD(W6 CSP)	W1_Mean	STD(W1 CSP)	Contrast W6	Contrast W1	STD(1-3)	STD(3-4)	Contrast OD5403-ODH403	Contrast ODH403-ODH413 
1.5000	0.050770	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2.5000	0.10154	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3.5000	0.15231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4.5000	0.20308	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5.5000	0.25385	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6.5000	0.30462	-388.02	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7.5000	0.35539	-57.147	11.075	0.0000	0.0000	2.5948e-06	0.0000	0.0000	0.0000	0.0000	0.0000
8.5000	0.40616	0.085612	25.843	0.0000	0.0000	6.0548e-06	0.0000	0.0000	0.0000	0.0000	0.0000
9.5000	0.45693	-2.9853	53.876	0.0000	0.0000	1.2623e-05	0.0000	0.0000	0.0000	0.0000	0.0000
10.500	0.50770	1.8782	41.543	0.0000	0.0000	9.7332e-06	0.0000	0.0000	0.0000	0.0000	0.0000
11.500	0.55847	2.2405	23.003	0.0000	0.0000	5.3895e-06	0.0000	0.0000	0.0000	0.0000	0.0000
12.500	0.60924	-2.3864	15.940	0.0000	0.0000	3.7346e-06	0.0000	0.0000	0.0000	0.0000	0.0000
13.500	0.66001	2.5219	13.000	0.0000	0.0000	3.0458e-06	0.0000	0.0000	0.0000	0.0000	0.0000
14.500	0.71078	0.76946	8.6142	0.0000	0.0000	2.0183e-06	0.0000	0.0000	0.0000	0.0000	0.0000
15.500	0.76155	0.77656	8.1990	0.0000	0.0000	1.9210e-06	0.0000	0.0000	0.0000	0.0000	0.0000
16.500	0.81232	0.64474	7.9851	0.0000	0.0000	1.8709e-06	0.0000	0.0000	0.0000	0.0000	0.0000
17.500	0.86309	0.87152	5.2572	0.0000	0.0000	1.2317e-06	0.0000	0.0000	0.0000	0.0000	0.0000
18.500	0.91386	1.0124	4.7368	0.0000	0.0000	1.1098e-06	0.0000	0.0000	0.0000	0.0000	0.0000
19.500	0.96463	1.0441	4.7596	0.0000	0.0000	1.1151e-06	0.0000	0.0000	0.0000	0.0000	0.0000
20.500	1.0154	0.34339	3.4764	0.0000	0.0000	8.1450e-07	0.0000	0.0000	0.0000	0.0000	0.0000
21.500	1.0662	0.37916	3.2123	0.0000	0.0000	7.5261e-07	0.0000	0.0000	0.0000	0.0000	0.0000
22.500	1.1169	0.10768	2.6350	-0.39886	0.68286	6.1736e-07	1.5999e-07	2.6660	2.7986	6.2462e-07	6.5569e-07
23.500	1.1677	0.38623	2.7084	0.0097934	1.1943	6.3457e-07	2.7981e-07	2.1561	2.3695	5.0516e-07	5.5516e-07
24.500	1.2185	0.077735	2.1333	-0.20510	0.70829	4.9982e-07	1.6595e-07	2.3049	2.1433	5.4003e-07	5.0217e-07
25.500	1.2693	-0.012431	1.8138	0.058330	0.78990	4.2496e-07	1.8507e-07	2.2539	2.1162	5.2807e-07	4.9582e-07
26.500	1.3200	-0.20963	1.7320	-0.12243	1.1483	4.0580e-07	2.6904e-07	2.0268	1.8553	4.7488e-07	4.3469e-07
27.500	1.3708	-0.29240	1.6828	0.010228	1.3013	3.9426e-07	3.0488e-07	1.8913	1.5409	4.4311e-07	3.6103e-07
28.500	1.4216	-0.098937	1.6695	-0.13514	0.84663	3.9116e-07	1.9836e-07	1.7053	1.4394	3.9953e-07	3.3723e-07
29.500	1.4723	-0.13394	1.3918	-0.042432	0.80878	3.2608e-07	1.8949e-07	1.6138	1.2297	3.7811e-07	2.8811e-07
30.500	1.5231	-0.16815	1.4547	-0.13816	0.98483	3.4083e-07	2.3074e-07	1.3602	1.2495	3.1869e-07	2.9275e-07
31.500	1.5739	-0.18373	1.3239	-0.019208	0.76842	3.1017e-07	1.8004e-07	1.2629	1.2738	2.9589e-07	2.9844e-07
32.500	1.6246	-0.18190	1.1349	0.047697	0.63795	2.6590e-07	1.4947e-07	1.2242	1.0610	2.8681e-07	2.4857e-07
33.500	1.6754	-0.31433	1.2047	-0.041842	0.67684	2.8224e-07	1.5858e-07	1.1133	1.0022	2.6084e-07	2.3482e-07
34.500	1.7262	-0.051418	1.1544	-0.066332	0.64520	2.7046e-07	1.5117e-07	0.99275	1.1021	2.3259e-07	2.5821e-07
35.500	1.7770	-0.11454	1.0626	-0.015982	0.64293	2.4896e-07	1.5063e-07	0.95431	0.99201	2.2359e-07	2.3242e-07
36.500	1.8277	-0.19389	0.95640	-0.055335	0.51726	2.2408e-07	1.2119e-07	0.81973	0.86393	1.9206e-07	2.0241e-07
37.500	1.8785	-0.15690	0.82137	-0.044023	0.54878	1.9244e-07	1.2857e-07	0.73999	0.83784	1.7337e-07	1.9630e-07
38.500	1.9293	-0.16997	0.82219	-0.097010	0.46558	1.9263e-07	1.0908e-07	0.70962	0.88412	1.6626e-07	2.0714e-07
39.500	1.9800	-0.18549	0.77394	-0.078850	0.49029	1.8133e-07	1.1487e-07	0.63437	0.83421	1.4863e-07	1.9545e-07
40.500	2.0308	-0.25855	0.67919	-0.060546	0.40511	1.5913e-07	9.4914e-08	0.62016	0.78599	1.4530e-07	1.8415e-07
41.500	2.0816	-0.15252	0.71968	-0.094750	0.44018	1.6862e-07	1.0313e-07	0.62099	0.77678	1.4549e-07	1.8200e-07
42.500	2.1323	-0.068855	0.67586	-0.093042	0.35816	1.5835e-07	8.3915e-08	0.59571	0.76620	1.3957e-07	1.7951e-07
43.500	2.1831	-0.074428	0.65052	-0.060987	0.38471	1.5241e-07	9.0134e-08	0.57110	0.77240	1.3380e-07	1.8097e-07
44.500	2.2339	-0.13591	0.55833	-0.037791	0.37587	1.3081e-07	8.8064e-08	0.87879	0.67099	2.0590e-07	1.5721e-07
45.500	2.2846	-0.10002	0.57614	-0.028916	0.33965	1.3499e-07	7.9578e-08	0.51323	0.66089	1.2025e-07	1.5484e-07
46.500	2.3354	-0.10994	0.49617	-0.014236	0.30327	1.1625e-07	7.1053e-08	0.42512	0.62663	9.9604e-08	1.4682e-07
47.500	2.3862	-0.051307	0.49105	-0.035102	0.29279	1.1505e-07	6.8599e-08	0.43229	0.57265	1.0128e-07	1.3417e-07
48.500	2.4370	-0.040606	0.51599	-0.039943	0.30348	1.2089e-07	7.1103e-08	0.42065	0.60433	9.8555e-08	1.4159e-07
49.500	2.4877	-0.085938	0.45795	-0.021326	0.24850	1.0730e-07	5.8222e-08	0.38207	0.55122	8.9516e-08	1.2915e-07
50.500	2.5385	-0.085118	0.42660	-0.025847	0.22891	9.9950e-08	5.3632e-08	0.34809	0.47256	8.1554e-08	1.1072e-07
51.500	2.5893	-0.069450	0.35992	-0.037130	0.24279	8.4326e-08	5.6885e-08	0.32501	0.44751	7.6148e-08	1.0485e-07
52.500	2.6400	-0.11482	0.33730	-0.019652	0.22043	7.9028e-08	5.1646e-08	0.30133	0.37935	7.0601e-08	8.8879e-08
53.500	2.6908	-0.10065	0.34277	-0.039095	0.19555	8.0308e-08	4.5816e-08	0.29747	0.40605	6.9696e-08	9.5136e-08
54.500	2.7416	-0.079966	0.32549	-0.030234	0.17990	7.6261e-08	4.2149e-08	0.26795	0.36942	6.2780e-08	8.6552e-08
55.500	2.7924	-0.074250	0.29228	-0.016668	0.18971	6.8478e-08	4.4447e-08	0.24823	0.34863	5.8159e-08	8.1682e-08
56.500	2.8431	-0.068494	0.28833	-0.016603	0.15979	6.7554e-08	3.7438e-08	0.24604	0.30663	5.7646e-08	7.1842e-08
57.500	2.8939	-0.062694	0.26938	-0.012086	0.15719	6.3114e-08	3.6829e-08	0.21843	0.29262	5.1177e-08	6.8559e-08
58.500	2.9447	-0.078784	0.26018	-0.017238	0.15102	6.0959e-08	3.5384e-08	0.20806	0.26810	4.8748e-08	6.2814e-08
59.500	2.9954	-0.044727	0.27183	-0.00050509	0.13093	6.3688e-08	3.0676e-08	0.20215	0.25981	4.7363e-08	6.0873e-08
60.500	3.0462	-0.046822	0.25067	-0.014134	0.13685	5.8731e-08	3.2063e-08	0.18131	0.24618	4.2480e-08	5.7679e-08
61.500	3.0970	-0.041609	0.23013	-0.016025	0.12094	5.3918e-08	2.8336e-08	0.17999	0.23073	4.2171e-08	5.4059e-08
62.500	3.1477	-0.025717	0.22060	-0.028239	0.12939	5.1684e-08	3.0315e-08	0.17998	0.21483	4.2167e-08	5.0334e-08
63.500	3.1985	-0.040518	0.21430	-0.024236	0.11977	5.0209e-08	2.8062e-08	0.17981	0.20090	4.2129e-08	4.7070e-08
64.500	3.2493	-0.021219	0.18821	-0.016834	0.11766	4.4096e-08	2.7566e-08	0.14699	0.20141	3.4439e-08	4.7189e-08
65.500	3.3001	-0.021397	0.18868	-0.0099515	0.11438	4.4207e-08	2.6798e-08	0.15776	0.18959	3.6963e-08	4.4420e-08
66.500	3.3508	-0.017026	0.21507	-0.0088862	0.10403	5.0389e-08	2.4373e-08	0.13809	0.17247	3.2353e-08	4.0408e-08
67.500	3.4016	0.0087703	0.19466	-0.014442	0.099545	4.5608e-08	2.3323e-08	0.12890	0.15188	3.0201e-08	3.5585e-08
68.500	3.4524	-0.016919	0.19205	-0.014602	0.096145	4.4997e-08	2.2526e-08	0.12838	0.13622	3.0077e-08	3.1916e-08
69.500	3.5031	-0.0052237	0.20123	-0.014929	0.088331	4.7147e-08	2.0695e-08	0.12758	0.14947	2.9891e-08	3.5020e-08
70.500	3.5539	-0.016601	0.17575	-0.013942	0.091098	4.1178e-08	2.1344e-08	0.11719	0.13386	2.7457e-08	3.1362e-08
71.500	3.6047	-0.0032865	0.18742	-0.012807	0.080310	4.3911e-08	1.8816e-08	0.12643	0.14097	2.9622e-08	3.3029e-08
72.500	3.6554	0.010619	0.20154	-0.0067691	0.076247	4.7221e-08	1.7864e-08	0.10231	0.13874	2.3969e-08	3.2507e-08
73.500	3.7062	-0.00063037	0.16370	-0.012434	0.072291	3.8354e-08	1.6937e-08	0.097547	0.11911	2.2855e-08	2.7906e-08
74.500	3.7570	0.0080898	0.17145	-0.011477	0.070163	4.0169e-08	1.6439e-08	0.094023	0.11366	2.2029e-08	2.6629e-08
75.500	3.8078	-0.0033376	0.14135	-0.010206	0.066813	3.3117e-08	1.5654e-08	0.091271	0.10468	2.1384e-08	2.4527e-08
76.500	3.8585	0.0026986	0.18819	-0.0065657	0.066621	4.4091e-08	1.5609e-08	0.082720	0.10043	1.9381e-08	2.3530e-08
77.500	3.9093	-0.013532	0.14878	-0.0082311	0.067939	3.4858e-08	1.5918e-08	0.081298	0.093113	1.9048e-08	2.1816e-08
78.500	3.9601	0.010540	0.13801	-0.011154	0.061824	3.2335e-08	1.4485e-08	0.079859	0.092757	1.8711e-08	2.1732e-08
79.500	4.0108	0.025214	0.18240	0.00022498	0.054369	4.2736e-08	1.2738e-08	0.083522	0.087409	1.9569e-08	2.0479e-08
80.500	4.0616	0.0040397	0.13873	0.00072142	0.055523	3.2504e-08	1.3009e-08	0.082199	0.089500	1.9259e-08	2.0969e-08
81.500	4.1124	-0.0010365	0.15107	0.00069090	0.056187	3.5394e-08	1.3164e-08	0.073669	0.087005	1.7260e-08	2.0385e-08
82.500	4.1631	-0.0022880	0.12162	0.0039588	0.055191	2.8495e-08	1.2931e-08	0.074385	0.085523	1.7428e-08	2.0038e-08
83.500	4.2139	2.7209e-05	0.12983	-0.0015018	0.051785	3.0417e-08	1.2133e-08	0.064988	0.071185	1.5226e-08	1.6678e-08
84.500	4.2647	-0.0057176	0.14433	-0.0042175	0.050272	3.3817e-08	1.1779e-08	0.069040	0.081282	1.6176e-08	1.9044e-08
